trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
409,AVGO,2025-03-07,2025-03-10,-3.3,2292.47,22849.06
410,NVDA,2025-03-12,2025-03-27,-3.3,2284.91,22547.95
413,ORCL,2025-03-12,2025-03-13,-3.3,2284.91,22698.26
411,APH,2025-03-12,2025-04-04,-3.3,2284.91,22173.92
412,CRM,2025-03-12,2025-03-13,-3.3,2284.91,22773.66
414,INTC,2025-03-12,2025-04-04,-3.3,2284.91,22098.52
415,KKR,2025-03-14,2025-04-03,-3.3,2269.83,22473.05
416,HOOD,2025-03-14,2025-04-03,-3.3,2269.83,22398.14
417,NOW,2025-03-14,2025-03-20,-3.3,2269.83,22623.35
422,COF,2025-04-02,2025-04-03,-3.3,2254.79,22249.32
421,WDC,2025-04-02,2025-04-03,-3.3,2254.79,22323.73
426,STX,2025-04-07,2025-04-08,-3.3,2202.0,21947.38
427,WMT,2025-04-08,2025-08-18,23.41,2194.74,23005.39
428,AVGO,2025-04-08,2025-08-18,96.12,2194.74,25114.98
429,DIS,2025-04-08,2025-08-18,42.93,2194.74,26057.18
430,CSX,2025-04-08,2025-08-18,35.1,2194.74,26827.53
431,LLY,2025-04-10,2025-08-07,-3.3,2194.74,22491.61
433,AMD,2025-04-11,2025-04-16,-3.3,2194.74,21874.95
432,AAPL,2025-04-11,2025-04-21,-3.3,2194.74,21802.52
443,MU,2025-08-05,2025-12-11,136.84,2256.4,29227.23
444,CMCSA,2025-08-13,2025-09-18,-3.3,2249.16,26576.24
445,NOW,2025-08-28,2025-09-02,-3.3,2682.75,26739.0
446,CRWD,2025-08-29,2025-09-02,-3.3,2682.75,26650.47
447,ADBE,2025-09-05,2025-10-10,-3.3,2665.05,26488.3
448,FTNT,2025-09-05,2025-11-06,-3.3,2665.05,26400.35
449,AMAT,2025-09-05,2026-01-14,85.56,2665.05,31325.01
450,UPS,2025-09-17,2026-01-27,29.26,2665.05,32104.81
451,ACN,2025-09-26,2026-02-05,-2.56,2657.62,31635.64
452,VRTX,2025-09-29,2026-02-06,20.6,2657.62,32183.11
454,DASH,2025-11-17,2025-11-19,-3.3,2640.04,26313.23
453,ORCL,2025-11-17,2025-11-20,-3.3,2640.04,26226.11
455,BX,2025-11-21,2026-02-03,-3.3,2622.61,31914.89
456,META,2025-11-24,2026-03-20,-3.3,2622.61,30844.33
457,CRM,2025-11-25,2025-11-26,-3.3,2622.61,26139.56
458,ETN,2025-12-04,2025-12-16,-3.3,2613.96,29140.96
459,INTC,2025-12-29,2026-05-08,240.27,2914.1,37337.54
460,ADP,2026-01-08,2026-01-13,-3.3,2914.1,29044.8
461,NFLX,2026-01-23,2026-01-29,-3.3,3132.5,32001.43
462,MRSH,2026-01-29,2026-02-09,-3.3,3200.14,32077.51
463,NOW,2026-01-30,2026-02-03,-3.3,3200.14,31809.28
464,ADBE,2026-02-02,2026-02-03,-3.3,3200.14,31703.68
467,INTU,2026-02-05,2026-02-10,-3.3,3163.56,31973.11
466,CRM,2026-02-05,2026-02-11,-3.3,3163.56,31868.71
468,HOOD,2026-02-06,2026-02-11,-3.3,3218.31,31762.51
469,DASH,2026-02-10,2026-02-11,-3.3,3197.31,31657.0
470,PANW,2026-02-13,2026-02-17,-3.3,3165.7,31552.53
471,KKR,2026-02-17,2026-02-19,-3.3,3155.25,31448.41
472,BKNG,2026-02-18,2026-02-19,-3.3,3155.25,31344.28
474,UBER,2026-02-18,2026-02-23,-3.3,3155.25,31240.16
473,AMZN,2026-02-18,2026-06-29,16.96,3155.25,37179.81
475,AMD,2026-02-20,2026-03-02,-3.3,3134.43,31136.72
476,MSFT,2026-02-25,2026-03-19,-3.3,3124.02,30930.88
477,IBM,2026-03-03,2026-03-27,-3.3,3113.67,30741.58
478,GLW,2026-03-16,2026-03-17,-3.3,3113.67,31033.97
479,BLK,2026-03-17,2026-03-27,-3.3,3103.4,30639.17
482,ELV,2026-03-25,2026-03-27,-3.3,3084.43,30537.38
481,NEM,2026-03-25,2026-06-09,-3.3,3084.43,37011.76
480,AXP,2026-03-25,2026-08-04,15.86,3084.43,37669.0
483,GE,2026-03-31,2026-04-22,-3.3,3053.74,30436.61
484,HD,2026-04-08,2026-04-29,-3.3,3053.74,30335.84
485,CRM,2026-04-13,2026-05-13,-3.3,3053.74,37236.76
486,AMGN,2026-05-12,2026-05-18,-3.3,3733.75,37113.55
488,ANET,2026-05-21,2026-09-01,27.07,3711.36,39262.74
487,BKNG,2026-05-21,2026-09-01,22.56,3711.36,38258.07
489,REGN,2026-06-03,2026-06-18,-3.3,3711.36,36767.15
490,MCK,2026-06-05,2026-06-18,-3.3,3711.36,36644.68
491,NOW,2026-06-15,2026-06-17,-3.3,3701.18,36889.62
492,ABT,2026-06-17,2026-09-01,23.66,3688.96,40135.55
493,ADBE,2026-06-23,2026-09-01,44.6,3664.47,41769.9
495,ICE,2026-07-01,2026-09-01,25.64,3717.98,44391.08
494,ACN,2026-07-01,2026-09-01,44.86,3717.98,43437.79
496,CME,2026-07-01,2026-09-01,23.7,3717.98,45272.24
