entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol,passive_pnl_pct
2023-10-05,long,27.209683940493782,2023-10-06,28.54011376727199,take_profit,4.89,4.59,0.33,USB,3.72
2023-10-06,long,64.57937027036651,2023-10-24,72.35679147274038,take_profit,12.04,11.74,0.66,RTX,14.02
2023-10-23,long,65.71854401468129,2023-10-31,70.4655314014642,take_profit,7.22,6.92,0.33,MMM,6.26
2023-10-25,long,176.25,2023-11-02,192.0266014404297,take_profit,8.95,8.65,1.0,BA,8.64
2023-10-27,long,88.44100764726349,2023-11-02,95.50531491410455,take_profit,7.99,7.69,0.66,PLD,8.06
2023-10-30,long,416.48148827857534,2023-11-03,450.45923917036106,take_profit,8.16,7.86,1.0,TMO,7.92
2023-10-30,long,179.2357347739255,2023-10-31,190.42888524583933,take_profit,6.24,5.94,1.0,DHR,5.15
2023-10-30,long,314.4319598364476,2023-11-02,333.4282087139327,take_profit,6.04,5.74,0.34,SPGI,10.11
2023-10-31,long,194.07000732421875,2023-11-02,214.10876818847657,take_profit,10.33,10.03,0.66,TSLA,12.29
2023-11-10,long,63.34806794828158,2023-11-15,67.85756832219948,take_profit,7.12,6.82,0.33,MDT,6.48
2023-11-28,long,70.47979856701087,2023-12-01,74.23241955451967,take_profit,5.32,5.02,0.67,MS,5.67
2023-11-30,long,42.32281115912487,2023-12-14,45.73288960335219,take_profit,8.06,7.76,0.33,BMY,6.37
2023-12-07,long,44.96648724095507,2023-12-14,47.99664181696042,take_profit,6.74,6.44,0.66,SLB,8.7
2023-12-13,long,17.219999313354492,2023-12-14,18.312679565429686,take_profit,6.35,6.05,0.67,PLTR,5.45
2024-01-25,long,10.619999885559082,2024-01-29,11.302039966583251,take_profit,6.42,6.12,0.34,HOOD,6.2
2024-04-25,long,107.3007267684373,2024-04-26,112.36907201971616,take_profit,4.72,4.42,0.33,MU,5.96
2024-04-25,long,146.75,2024-04-26,156.41184057617187,take_profit,6.58,6.28,0.33,AMD,6.96
2024-04-25,long,124.3219985961914,2024-04-26,128.81024606323243,take_profit,3.61,3.31,0.33,DASH,5.96
2024-04-30,long,247.15252114729796,2024-05-01,255.60296062524264,take_profit,3.42,3.12,0.33,MCD,4.19
2024-05-31,long,57.89409235036015,2024-06-20,63.37713295872035,take_profit,9.47,9.17,0.33,GILD,11.4
2024-05-31,long,266.9572535426407,2024-06-20,291.2197162570942,take_profit,9.09,8.79,0.33,ACN,9.56
2024-06-17,long,224.1889390487084,2024-06-27,243.70823110890097,take_profit,8.71,8.41,0.67,CRM,10.71
2024-07-30,long,101.53145202121208,2024-08-02,98.48550846057572,stop_loss,-3.0,-3.3,0.34,MU,-9.57
2024-08-05,long,59.37536155680009,2024-08-14,63.57799044492582,take_profit,7.08,6.78,0.33,SCHW,7.01
2024-08-05,long,13.979999542236328,2024-08-06,16.55239945220947,take_profit,18.4,18.1,0.67,HOOD,22.8
2024-08-07,long,103.63901620534772,2024-08-20,107.88263322826721,take_profit,4.09,3.79,0.33,MRK,3.69
2024-08-07,long,110.37999725341795,2024-09-17,121.06607876586912,take_profit,9.68,9.38,0.33,ABNB,10.34
2024-08-07,long,84.30354860767079,2024-08-12,94.02847262566861,take_profit,11.54,11.24,0.33,DELL,9.29
2024-08-08,long,107.27732553655852,2024-08-19,113.50797824690883,take_profit,5.81,5.51,0.33,UPS,5.77
2024-10-31,long,808.3616837788951,2024-11-14,784.1108332655282,stop_loss,-3.0,-3.3,1.0,REGN,-4.4
2024-12-17,long,59.33000183105469,2024-12-18,63.3585217590332,take_profit,6.79,6.49,0.66,UBER,2.9
2024-12-20,long,222.813023354004,2025-01-06,235.45796187981247,take_profit,5.68,5.38,0.33,DHR,5.49
2024-12-23,long,40.819509455392456,2025-01-13,45.191695929978735,take_profit,10.71,10.41,0.33,CVS,17.97
2025-01-10,long,84.78228183901474,2025-01-14,88.87103617876642,take_profit,4.82,4.52,0.67,STX,5.0
2025-01-10,long,133.46324283389038,2025-01-27,141.56630236202167,take_profit,6.07,5.77,0.33,PEP,8.96
2025-01-13,long,151.16644600344466,2025-01-14,160.09581055763078,take_profit,5.91,5.61,0.67,BX,5.04
2025-01-30,long,117.92386904906036,2025-01-31,126.17862120772857,take_profit,7.0,6.7,0.33,NVDA,1.37
2025-01-30,long,28.52924129597011,2025-02-13,31.104775156126497,take_profit,9.03,8.73,0.33,CMCSA,8.56
2025-02-03,long,99.59354500832173,2025-02-04,104.05474699326251,take_profit,4.48,4.18,0.33,XOM,4.11
2025-02-03,long,97.72456307046563,2025-02-14,103.8950725005036,take_profit,6.31,6.01,0.66,UPS,5.93
2025-02-07,long,106.79000091552734,2025-02-10,110.01140127563477,take_profit,3.02,2.72,0.33,AMD,3.16
2025-02-28,long,78.58000183105469,2025-03-03,89.6318822631836,take_profit,14.06,13.76,0.33,PLTR,5.86
2025-02-28,long,306.1000061035156,2025-03-03,357.7958104248047,take_profit,16.89,16.59,0.33,APP,9.91
2025-03-04,long,81.44999694824219,2025-03-10,79.00649703979492,stop_loss,-3.0,-3.3,0.33,ANET,-5.08
2025-03-04,long,82.90090760238967,2025-03-06,80.41388037431797,stop_loss,-3.0,-3.3,0.67,MRVL,-13.47
2025-03-04,long,261.8399963378906,2025-03-07,253.9847964477539,stop_loss,-3.0,-3.3,0.67,TSLA,0.02
2025-03-06,long,175.3733904628195,2025-03-07,189.4203291177438,take_profit,8.01,7.71,0.33,AVGO,9.47
2025-03-07,long,59.34467167827572,2025-03-12,62.37165573550154,take_profit,5.1,4.8,0.33,APH,4.4
2025-03-10,long,267.6024056921593,2025-03-31,259.5743335213945,stop_loss,-3.0,-3.3,0.33,CRM,-1.17
2025-03-11,long,104.61376097133784,2025-03-12,113.72627477052222,take_profit,8.71,8.41,0.67,NVDA,10.18
2025-03-11,long,135.373242429474,2025-03-12,145.7070729362239,take_profit,7.63,7.33,0.34,ORCL,9.28
2025-03-11,long,19.290000915527344,2025-03-12,20.942000915527345,take_profit,8.56,8.26,0.66,INTC,6.91
