entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol
2025-06-22 20:00:00,long,0.1427,2025-06-22 22:00:00,0.14966672,take_profit,4.88,4.58,0.33,DOGEUSDT
2025-06-22 20:00:00,long,2111.89,2025-06-23 00:00:00,2246.0442,take_profit,6.35,6.05,1.0,ETHUSDT
2025-06-22 20:00:00,long,36.46,2025-06-22 22:00:00,37.70608,take_profit,3.42,3.12,0.34,ZECUSDT
2025-06-22 20:00:00,long,1.793,2025-06-22 22:00:00,1.8678119999999998,take_profit,4.17,3.87,0.34,NEARUSDT
2025-06-22 20:00:00,long,10.94,2025-06-23 00:00:00,11.70228,take_profit,6.97,6.67,0.33,LINKUSDT
2025-06-22 20:00:00,long,0.2224,2025-06-22 22:00:00,0.2347428,take_profit,5.55,5.25,0.33,ENAUSDT
2025-06-22 20:00:00,long,2.2937,2025-06-22 22:00:00,2.433294,take_profit,6.09,5.79,0.34,SUIUSDT
2025-06-23 16:00:00,long,0.5289,2025-06-23 17:00:00,0.5484408000000001,take_profit,3.69,3.39,0.67,ADAUSDT
2025-07-20 21:00:00,long,8.508,2025-07-20 22:00:00,8.822351999999999,take_profit,3.69,3.39,0.33,PROMUSDT
2025-07-24 06:00:00,long,1.185e-05,2025-07-24 08:00:00,1.25344e-05,take_profit,5.78,5.48,0.67,PEPEUSDT
2025-07-24 07:00:00,long,39.32,2025-07-24 10:00:00,40.89884,take_profit,4.02,3.72,0.34,ZECUSDT
2025-07-24 07:00:00,long,0.7613,2025-07-24 08:00:00,0.7962988,take_profit,4.6,4.3,0.33,ADAUSDT
2025-07-24 07:00:00,long,17.15,2025-07-24 08:00:00,17.82024,take_profit,3.91,3.61,0.33,LINKUSDT
2025-07-30 00:00:00,long,0.5537,2025-07-30 02:00:00,0.5843564,take_profit,5.54,5.24,0.67,ENAUSDT
2025-08-01 08:00:00,long,0.952,2025-08-01 12:00:00,0.9855119999999999,take_profit,3.52,3.22,0.33,WLDUSDT
2025-08-02 18:00:00,long,2.301,2025-08-03 07:00:00,2.403896,take_profit,4.47,4.17,0.33,NEARUSDT
2025-08-02 18:00:00,long,34.58,2025-08-03 15:00:00,36.30752,take_profit,5.0,4.7,0.67,ZECUSDT
2025-08-22 12:00:00,long,2.369,2025-08-22 14:00:00,2.482044,take_profit,4.77,4.47,0.33,NEARUSDT
2025-08-27 01:00:00,long,0.6086,2025-08-28 11:00:00,0.647776,take_profit,6.44,6.14,0.33,ENAUSDT
2025-08-29 09:00:00,long,0.8148,2025-09-01 05:00:00,0.798504,stop_loss,-2.0,-2.3,0.34,ADAUSDT
2025-08-29 09:00:00,long,9.65e-06,2025-09-01 02:00:00,9.457000000000001e-06,stop_loss,-2.0,-2.3,0.67,PEPEUSDT
2025-08-29 09:00:00,long,9.366,2025-08-31 03:00:00,9.90054,take_profit,5.71,5.41,0.33,UNIUSDT
2025-08-29 18:00:00,long,3.2106,2025-09-01 04:00:00,3.146388,stop_loss,-2.0,-2.3,0.67,SUIUSDT
2025-08-30 02:00:00,long,22.83,2025-08-31 00:00:00,23.5852,take_profit,3.31,3.01,0.34,LINKUSDT
2025-09-11 14:00:00,long,0.748,2025-09-11 18:00:00,0.7693816,take_profit,2.86,2.56,0.33,ENAUSDT
2025-09-16 14:00:00,long,0.257,2025-09-16 17:00:00,0.26829968,take_profit,4.4,4.1,1.0,DOGEUSDT
2025-09-17 04:00:00,long,0.6708,2025-09-17 12:00:00,0.6954148,take_profit,3.67,3.37,0.33,ENAUSDT
2025-09-23 03:00:00,long,0.5802,2025-09-23 08:00:00,0.6135940000000001,take_profit,5.76,5.46,0.33,ENAUSDT
2025-09-24 04:00:00,long,7.831,2025-09-25 04:00:00,7.67438,stop_loss,-2.0,-2.3,0.33,UNIUSDT
2025-09-24 04:00:00,long,20.98,2025-09-25 12:00:00,20.5604,stop_loss,-2.0,-2.3,0.33,LINKUSDT
2025-09-24 04:00:00,long,0.7901,2025-09-24 14:00:00,0.8287804,take_profit,4.9,4.6,0.66,ADAUSDT
2025-10-04 03:00:00,long,124.03,2025-10-04 04:00:00,132.04692,take_profit,6.46,6.16,0.33,ZECUSDT
2025-10-07 06:00:00,long,142.4,2025-10-07 08:00:00,150.65056,take_profit,5.79,5.49,0.33,ZECUSDT
2025-10-10 21:00:00,long,2.79e-06,2025-10-10 22:00:00,4.4325599999999995e-06,take_profit,58.87,58.57,0.67,PEPEUSDT
2025-10-10 23:00:00,long,217.33,2025-10-11 02:00:00,233.83348,take_profit,7.59,7.29,0.34,AAVEUSDT
2025-10-11 00:00:00,long,1073.0,2025-10-11 02:00:00,1131.292,take_profit,5.43,5.13,0.34,BNBUSDT
2025-10-11 00:00:00,long,0.6195,2025-10-11 09:00:00,0.681214,take_profit,9.96,9.66,0.34,ADAUSDT
2025-10-11 01:00:00,long,182.16,2025-10-11 19:00:00,178.5168,stop_loss,-2.0,-2.3,0.34,SOLUSDT
2025-10-12 02:00:00,long,0.3459,2025-10-12 12:00:00,0.3726152,take_profit,7.72,7.42,0.34,ENAUSDT
2025-10-14 08:00:00,long,217.59,2025-10-14 09:00:00,230.73284,take_profit,6.04,5.74,0.33,ZECUSDT
2025-10-15 21:00:00,long,1148.92,2025-10-16 16:00:00,1125.9416,stop_loss,-2.0,-2.3,0.67,BNBUSDT
2025-10-16 00:00:00,long,222.0,2025-10-16 03:00:00,235.216,take_profit,5.95,5.65,0.66,ZECUSDT
2025-10-17 14:00:00,long,200.17,2025-10-18 19:00:00,214.92471999999998,take_profit,7.37,7.07,0.66,AAVEUSDT
2025-10-22 23:00:00,long,226.26,2025-10-23 00:00:00,238.41636,take_profit,5.37,5.07,0.67,ZECUSDT
2025-10-30 17:00:00,long,0.3811,2025-11-01 21:00:00,0.373478,stop_loss,-2.0,-2.3,0.67,ENAUSDT
2025-10-31 17:00:00,long,5.612,2025-11-02 07:00:00,5.913136,take_profit,5.37,5.07,0.33,UNIUSDT
2025-10-31 17:00:00,long,2.069,2025-11-01 08:00:00,2.1516,take_profit,3.99,3.69,0.33,NEARUSDT
2025-10-31 17:00:00,long,2.2989,2025-10-31 19:00:00,2.3681188,take_profit,3.01,2.71,0.33,SUIUSDT
2025-11-03 20:00:00,long,0.3247,2025-11-04 03:00:00,0.3415268,take_profit,5.18,4.88,0.33,ENAUSDT
2025-11-03 21:00:00,long,197.42,2025-11-04 07:00:00,193.4716,stop_loss,-2.0,-2.3,0.33,AAVEUSDT
2025-11-03 21:00:00,long,5.63e-06,2025-11-04 05:00:00,5.5174e-06,stop_loss,-2.0,-2.3,0.66,PEPEUSDT
2025-11-03 23:00:00,long,0.16433,2025-11-04 05:00:00,0.1610434,stop_loss,-2.0,-2.3,0.33,DOGEUSDT
2025-11-04 05:00:00,long,0.697,2025-11-04 17:00:00,0.6830599999999999,stop_loss,-2.0,-2.3,0.33,WLDUSDT
